Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
Bilirubin_direct,--,0.875,24,2,3.5,0.6,0.0512,0.4286,0.7797,22.3,0.1935,47.1
Bilirubin_direct,--,0.99,0,0,0.0,0.0,0.0536,0.4286,0.781,22.4,0.1933,47.1
Bilirubin_neonatal,--,0.5,11,2,100.0,100.0,,,,,,9.1
Bilirubin_neonatal,--,0.625,11,2,100.0,100.0,,,,,,9.1
Bilirubin_neonatal,--,0.75,11,2,100.0,100.0,,,,,,9.1
Bilirubin_neonatal,--,0.875,11,2,100.0,100.0,,,,,,9.1
Bilirubin_neonatal,--,0.99,10,2,90.9,100.0,,,,,,9.1
Amylase,--,0.5,298,130,78.6,69.1,0.1791,0.3311,0.7347,2.3,0.2442,42.7
Amylase,--,0.625,280,119,73.9,63.6,0.1702,0.3119,0.7304,3.4,0.2415,42.7
Amylase,--,0.75,103,22,27.2,13.3,0.1158,0.2534,0.7343,10.9,0.219,42.7
Amylase,--,0.875,62,5,16.4,3.0,0.1037,0.2433,0.745,12.9,0.2137,42.7
Amylase,--,0.99,0,0,0.0,0.0,0.0974,0.2433,0.7592,15.5,0.2068,42.7
LDH,--,0.5,1430,622,35.0,25.9,0.0275,0.0738,0.6837,9.8,0.2184,58.9
LDH,--,0.625,491,192,12.0,8.0,0.0344,0.0571,0.6984,11.2,0.2147,58.9
LDH,--,0.75,0,0,0.0,0.0,0.0338,0.0827,0.7073,12.0,0.2129,58.9
LDH,--,0.875,0,0,0.0,0.0,0.0338,0.0827,0.7073,12.0,0.2129,58.9
LDH,--,0.99,0,0,0.0,0.0,0.0338,0.0827,0.7073,12.0,0.2129,58.9
Glucose,--,0.5,734,380,17.8,13.2,0.0349,0.131,0.6831,7.7,0.1945,70.2
Glucose,--,0.625,112,49,2.7,1.7,0.0325,0.1184,0.6871,8.1,0.1927,70.2
Glucose,--,0.75,0,0,0.0,0.0,0.0322,0.1167,0.6871,8.1,0.1921,70.2
Glucose,--,0.875,0,0,0.0,0.0,0.0322,0.1167,0.6871,8.1,0.1921,70.2
Glucose,--,0.99,0,0,0.0,0.0,0.0322,0.1167,0.6871,8.1,0.1921,70.2
CRP,--,0.5,150,31,3.9,1.0,0.0355,0.7157,0.8263,30.6,0.0979,82.9
CRP,--,0.625,150,31,3.9,1.0,0.0355,0.7157,0.8263,30.6,0.0979,82.9
CRP,--,0.75,0,0,0.0,0.0,0.036,0.3824,0.8292,31.4,0.0974,82.9
CRP,--,0.875,0,0,0.0,0.0,0.036,0.3824,0.8292,31.4,0.0974,82.9
CRP,--,0.99,0,0,0.0,0.0,0.036,0.3824,0.8292,31.4,0.0974,82.9
Cholesterol,--,0.5,148,63,100.0,100.0,0.257,0.6027,0.6521,-22.3,0.2991,23.6
Cholesterol,--,0.625,146,62,98.6,98.4,0.257,0.6027,0.6521,-22.3,0.2991,23.6
Cholesterol,--,0.75,145,62,98.0,98.4,0.257,0.6027,0.6521,-22.3,0.2991,23.6
Cholesterol,--,0.875,61,12,41.2,27.3,0.1486,0.3261,0.6298,-7.0,0.2236,23.6
Cholesterol,--,0.99,0,0,0.0,0.0,0.0978,0.3261,0.7062,1.6,0.1777,23.6
LDL,--,0.5,39,15,100.0,100.0,0.1459,0.5,0.5583,-5.7,0.2502,38.5
LDL,--,0.625,37,15,94.9,100.0,0.1459,0.5,0.5583,-5.7,0.2502,38.5
LDL,--,0.75,9,3,23.1,20.0,0.1104,0.2124,0.6347,-0.2,0.2371,38.5
LDL,--,0.875,2,0,5.1,0.0,0.113,0.1667,0.6444,0.4,0.2358,38.5
LDL,--,0.99,0,0,0.0,0.0,0.113,0.1667,0.6444,0.4,0.2358,38.5
HDL,M,0.5,33,1,100.0,100.0,0.0978,0.1333,0.9688,-5.5,0.031,6.1
HDL,M,0.625,33,1,100.0,100.0,0.0978,0.1333,0.9688,-5.5,0.031,6.1
HDL,M,0.75,33,1,100.0,100.0,0.0978,0.1333,0.9688,-5.5,0.031,6.1
HDL,M,0.875,14,0,42.4,0.0,0.1281,0.4167,0.9839,18.9,0.0462,6.1
HDL,M,0.99,0,0,0.0,0.0,0.1281,0.4167,0.9839,18.9,0.0462,6.1
HDL,F,0.5,16,3,100.0,100.0,0.067,0.0974,0.359,-13.4,0.1727,25.0
HDL,F,0.625,16,3,100.0,100.0,0.067,0.0974,0.359,-13.4,0.1727,25.0
HDL,F,0.75,16,3,100.0,100.0,0.067,0.0974,0.359,-13.4,0.1727,25.0
HDL,F,0.875,16,3,100.0,100.0,0.067,0.0974,0.359,-13.4,0.1727,25.0
HDL,F,0.99,5,1,31.2,25.0,0.1302,0.1894,0.4167,-20.1,0.2252,25.0
Triglycerides,--,0.5,40,11,67.8,47.8,0.0836,0.5926,0.7621,18.9,0.1929,40.7
Triglycerides,--,0.625,38,10,64.4,43.5,0.1029,0.5926,0.7591,17.8,0.1956,40.7
Triglycerides,--,0.75,19,3,32.2,13.0,0.0909,0.5926,0.7669,18.6,0.1936,40.7
Triglycerides,--,0.875,0,0,0.0,0.0,0.1059,0.6,0.7661,17.8,0.1983,40.7
Triglycerides,--,0.99,0,0,0.0,0.0,0.1059,0.6,0.7661,17.8,0.1983,40.7
Iron,--,0.5,36,12,100.0,100.0,0.0667,0.1667,0.8299,17.6,0.1831,33.3
