Lab,ALT,AST,Albumin,Alkaline_Phosphatase,Amylase,Baso_abs,Bilirubin_direct,Bilirubin_neonatal,Bilirubin_total,CPK,CRP,Calcium,Calcium_ionized,Carboxyhemoglobin,Chloride,Cholesterol,Creatinine,Deoxyhemoglobin,Eos_abs,Ferritin,Folate,GGT,Globulin,Glucose,HCT,HDL,HGB,Iron,LDH,LDL,Lactate,Lympho_abs,MCV,MPV,Magnesium,Methemoglobin,Mono_abs,NRBC_abs,Neutro_abs,O2_saturation,Osmolality,Oxyhemoglobin,PLT,PT,PTT,Phosphorus,Potassium,Protein_total,RBC,RDW,Reticulo_abs,Sodium,Specific_gravity,TSH,Transferrin,Triglycerides,Troponin_I_HS,Urea,Uric_acid,Vitamin_B12,WBC,pCO2,pH,pO2
CRP,0.020472131163751094,0.05081675547003879,-0.41556457616370795,0.08438423621521512,-0.04935854068735432,,-0.03354101600908235,,0.0036594921616029618,0.025853889055665154,1.0,-0.2788673182466492,,,-0.029536527452791568,-0.30690809537723185,0.09534277989860807,,,0.05466340361176274,-0.11749162195896266,0.06774856105175277,0.10130910385979312,0.07025159370636429,,-0.25591181643889294,,-0.27832215346856426,0.12621566690271555,-0.251348862979435,,,,,-0.009476883385687073,,,,,,0.07348906095190899,,,,,0.010495249575085953,-0.08506402807326464,-0.22052745638028448,,,,-0.012137604277002513,,-0.010529617598095915,-0.2788978597489674,-0.1079750073330982,0.11909829560439067,0.1150648103977223,0.048391635816610594,0.003383961437761223,,,,
Calcium,-0.03542433890215454,-0.0525422394181249,0.6423608608396868,-0.11328218612258964,-0.05650439108664815,,-0.10310080765239846,,-0.08724618954324664,-0.00575718086130955,-0.2788673182466492,1.0,,,-0.05185503175488831,0.2605147335612904,-0.16090243583312727,,,-0.26105922097233564,0.14914838084692914,-0.11619899959360107,0.1461268888728276,-0.04657425721938258,,0.02817214397875476,,0.014499034479201183,-0.11171123341248584,0.04772842982567039,,,,,0.042580135048827766,,,,,,-0.08599948688332672,,,,,-0.02633120205079757,0.1692033444081191,0.5681058432620155,,,,0.05245671722168464,,0.0019183613709232268,0.46985173833160765,-0.12614315178808955,-0.12000286903712089,-0.19277962125109366,0.020542131122149674,-0.3486221976837743,,,,
Calcium_ionized,,,,,,,,-0.07036864536963645,,,,,1.0,-0.10399760108333903,,,,0.03956137159069614,,,,,,,,,,,,,-0.14456496169181332,,,,,-0.05146299664295691,,,,-0.05270517095077996,,-0.034600833211744716,,,,,,,,,,,,,,,,,,,,0.18535011957795883,-0.10454561100769115,-0.0612584995782463
Carboxyhemoglobin,,,,,,,,0.01744881706488235,,,,,-0.10399760108333903,1.0,,,,0.11109670314324999,,,,,,,,,,,,,0.02331531036281378,,,,,-0.015518599436348729,,,,-0.12642281005195508,,-0.14890863721598785,,,,,,,,,,,,,,,,,,,,0.11302799462685069,0.06428286772645429,-0.11113922305188959
Chloride,-0.02499575376950102,-0.029560329870860134,-0.059824820549280476,-0.06738190517201703,-0.08017954533672611,,-0.030316489908204926,,-0.017181232644888574,0.027234562409507994,-0.029536527452791568,-0.05185503175488831,,,1.0,-0.123584237327276,-0.032664808099735626,,,-0.0853034901046725,0.059431463288100554,-0.08434495121993543,-0.09265617373006761,-0.05432002977974786,,-0.03705841308931583,,-0.18890499001636396,-0.0516134672265551,-0.050038236863579465,,,,,0.023911887026680928,,,,,,0.4642759019671342,,,,,-0.09108819419098507,0.009626297730150647,-0.11041849967204428,,,,0.6719220629140276,,0.01679776354789972,0.41429974579939105,-0.12490284478634972,-0.07399526076455434,0.03663638689780582,0.01694478255401309,-0.2754123243730512,,,,
Cholesterol,0.05297887235081573,-0.026036763617773302,0.034739138025930615,0.41963296846530224,-0.016622588516155026,,0.2730649510539331,,0.12105848115761089,-0.06692034058392952,-0.30690809537723185,0.2605147335612904,,,-0.123584237327276,1.0,-0.04692081077974946,,,,0.1814983325170031,0.17208827402436888,0.06392248520486274,-0.1571819424697639,,0.5721745637128121,,,-0.03541308015954231,0.9831489201614574,,,,,-0.012561269865998391,,,,,,-0.06979462176642408,,,,,0.09456984299717006,0.14973233166888247,0.07824760442499293,,,,-0.12907025760019303,,0.2725762043286385,,0.1693658934297807,-0.09380477185391899,0.06270170502869821,0.15214706475785253,,,,,
Creatinine,-0.004592423586101648,0.009401653508362013,-0.1022562991668588,0.04352165225368921,0.20165174951745887,,0.21103147999035188,,0.09548484311108435,0.01372417823866766,0.09534277989860807,-0.16090243583312727,,,-0.032664808099735626,-0.04692081077974946,1.0,,,0.2749875353821124,-0.26197864951629823,0.06822443160508643,0.018708844199054296,0.03169654224798575,,-0.13883708727483618,,0.01740683890942079,-0.009158848115835809,-0.21212075772119493,,,,,0.1780436199117308,,,,,,0.4029754919232703,,,,,0.5415312543867613,0.24116329372553674,-0.05781392476807802,,,,-0.031132105576191945,,0.08154362029749435,-0.3961380727053096,-0.03194465226522295,0.2365027626729526,0.6783282150627254,0.41115890839684827,0.3170819250561346,,,,
Deoxyhemoglobin,,,,,,,,-0.003231625786613857,,,,,0.03956137159069614,0.11109670314324999,,,,1.0,,,,,,,,,,,,,0.2817826909080606,,,,,0.3512420263994005,,,,-0.9998529860648229,,-0.9993099108025172,,,,,,,,,,,,,,,,,,,,0.14837991709555903,-0.24376352997087647,-0.7827571416069432
Eos_abs,,,,,,0.29343003657658595,,,,,,,,,,,,,1.0,,,,,,0.06550614999352486,,0.05431291720352726,,,,,0.04345230595507027,-0.1233843728795371,0.011760113713429722,,,0.13328640258924015,-0.034663034429605666,0.03132649067067425,,,,0.1289675080811558,,,,,,0.10917796902374426,0.06546894238891793,-0.07313049646438591,,,,,,,,,,0.11276430141405944,,,
Ferritin,-0.06515912082275035,0.09792353359643663,-0.39641163921839895,0.3131047611081972,-0.16419117032087285,,0.18474582046161636,,0.29374194240450574,0.5347818296023145,0.05466340361176274,-0.26105922097233564,,,-0.0853034901046725,,0.2749875353821124,,,1.0,-0.07550521942526434,0.37748512993024125,-0.14587954091292116,0.2079767265443269,,,,0.2600347300642579,0.23577777548763548,,,,,,-0.05178759824869817,,,,,,0.3723835641290227,,,,,0.5950883910248745,0.05193799173243259,-0.3442830078427972,,,,0.029191438475018084,,,-0.5648196041585473,0.11099013618284072,,0.48623276531774656,0.3732189952624661,0.5035335486087057,,,,
