Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
Iron,0.9,35,3,0,8.6,0.0,0.0,56.4805,47.0,0.6522
LDH,0.9,4910,0,0,0.0,0.0,0.0,87.9051,20.0,0.587
LDL,0.9,56,5,1,8.9,1.79,20.0,12.3109,11.6,0.7117
Lactate,0.9,470,0,0,0.0,0.0,0.0,5.1167,23.3,0.5837
Lympho_abs,0.9,1323,1073,80,81.1,6.05,7.46,0.7654,24.4,0.7258
MCV,0.9,1320,1204,53,91.2,4.02,4.4,1.3627,1.1,0.7501
MPV,0.9,1323,1122,68,84.8,5.14,6.06,0.4229,3.7,0.6885
Magnesium,0.9,4921,6,0,0.1,0.0,0.0,0.1407,5.4,0.6516
Methemoglobin,0.9,475,346,35,72.8,7.37,10.12,0.1483,20.6,0.7117
Mono_abs,0.9,1319,0,0,0.0,0.0,0.0,0.2373,21.1,0.6858
NRBC_abs,0.9,1297,893,64,68.9,4.93,7.17,0.0165,90.6,0.7341
Neutro_abs,0.9,1327,24,3,1.8,0.23,12.5,1.9629,21.6,0.6752
O2_saturation,0.9,475,0,0,0.0,0.0,0.0,14.6991,15.4,0.576
Osmolality,0.9,4779,2,0,0.0,0.0,0.0,5.1512,1.3,0.5796
Oxyhemoglobin,0.9,469,0,0,0.0,0.0,0.0,14.6178,15.0,0.6076
PLT,0.9,1326,48,3,3.6,0.23,6.25,35.6231,12.8,0.6945
Phosphorus,0.9,4939,839,84,17.0,1.7,10.01,0.5659,12.1,0.6737
Potassium,0.9,4947,4,0,0.1,0.0,0.0,0.3288,6.3,0.698
Protein_total,0.9,4936,24,4,0.5,0.08,16.67,0.3686,4.9,0.6828
RBC,0.9,1317,0,0,0.0,0.0,0.0,0.3889,8.8,0.5574
RDW,0.9,1325,834,65,62.9,4.91,7.79,0.5664,2.0,0.7137
Reticulo_abs,0.9,66,0,0,0.0,0.0,0.0,20.8946,28.5,0.5741
Sodium,0.9,4972,0,0,0.0,0.0,0.0,2.175,1.2,0.6316
Specific_gravity,0.9,12,0,0,0.0,0.0,0.0,0.0029,0.2,
TSH,0.9,150,0,0,0.0,0.0,0.0,2.0832,35.1,0.6186
Transferrin,0.9,34,0,0,0.0,0.0,0.0,20.8557,8.9,0.6792
Triglycerides,0.9,62,3,1,4.8,1.61,33.33,80.7457,33.5,0.5348
Troponin_I_HS,0.9,711,0,0,0.0,0.0,0.0,743.0713,158.4,0.6154
Urea,0.9,4963,0,0,0.0,0.0,0.0,11.8642,14.5,0.5749
Uric_acid,0.9,4852,295,32,6.1,0.66,10.85,0.6961,9.2,0.6677
