feature_code,token_type,source_table,cutoff_rule,transformation,missing_value_policy,value_column,time_column,observed_rows
Baso_abs__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Baso_abs__mean_24h,t__Baso_abs__mean_24h,3282
Baso_abs__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Baso_abs__mean_72h,t__Baso_abs__mean_72h,5052
Baso_abs__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Baso_abs__min_24h,t__Baso_abs__min_24h,3282
Baso_abs__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Baso_abs__min_72h,t__Baso_abs__min_72h,5052
Baso_abs__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Baso_abs__prev1,t__Baso_abs__prev1,6144
Baso_abs__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Baso_abs__prev2,t__Baso_abs__prev2,4293
Baso_abs__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Baso_abs__prev3,t__Baso_abs__prev3,3282
Baso_abs__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Baso_abs__prior_count,t__Baso_abs__prior_count,6144
Baso_abs__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Baso_abs__slope_per_day,t__Baso_abs__slope_per_day,4293
Baso_abs__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Baso_abs__std_24h,t__Baso_abs__std_24h,2
Baso_abs__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Baso_abs__std_72h,t__Baso_abs__std_72h,2395
Bilirubin_direct__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Bilirubin_direct__delta,t__Bilirubin_direct__delta,2657
Bilirubin_direct__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Bilirubin_direct__first_admission,t__Bilirubin_direct__first_admission,4315
Bilirubin_direct__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_direct__max_24h,t__Bilirubin_direct__max_24h,2767
Bilirubin_direct__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_direct__max_72h,t__Bilirubin_direct__max_72h,3780
Bilirubin_direct__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_direct__mean_24h,t__Bilirubin_direct__mean_24h,2767
Bilirubin_direct__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_direct__mean_72h,t__Bilirubin_direct__mean_72h,3780
Bilirubin_direct__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_direct__min_24h,t__Bilirubin_direct__min_24h,2767
Bilirubin_direct__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_direct__min_72h,t__Bilirubin_direct__min_72h,3780
Bilirubin_direct__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Bilirubin_direct__prev1,t__Bilirubin_direct__prev1,4315
Bilirubin_direct__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Bilirubin_direct__prev2,t__Bilirubin_direct__prev2,2657
Bilirubin_direct__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Bilirubin_direct__prev3,t__Bilirubin_direct__prev3,1881
Bilirubin_direct__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Bilirubin_direct__prior_count,t__Bilirubin_direct__prior_count,4315
Bilirubin_direct__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Bilirubin_direct__slope_per_day,t__Bilirubin_direct__slope_per_day,2657
