Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
Ferritin,--,0.875,0,0,0.0,0.0,0.1864,0.3373,0.6845,8.7,0.2184,39.6
Ferritin,--,0.99,0,0,0.0,0.0,0.1864,0.3373,0.6845,8.7,0.2184,39.6
Folate,--,0.5,45,9,100.0,100.0,0.0418,0.5556,0.6358,6.7,0.1493,20.0
Folate,--,0.625,44,8,97.78,88.89,0.0418,0.5556,0.6358,6.7,0.1493,20.0
Folate,--,0.75,34,5,75.56,55.56,0.0418,0.5556,0.6358,6.7,0.1493,20.0
Folate,--,0.85,0,0,0.0,0.0,0.0418,0.5556,0.6358,6.7,0.1493,20.0
Folate,--,0.875,0,0,0.0,0.0,0.0418,0.5556,0.6358,6.7,0.1493,20.0
Folate,--,0.99,0,0,0.0,0.0,0.0418,0.5556,0.6358,6.7,0.1493,20.0
GGT,--,0.5,2266,829,86.95,76.97,0.0091,0.1272,0.6238,7.9,0.2233,41.3
GGT,--,0.625,1965,671,75.4,62.3,0.0091,0.1272,0.6238,7.9,0.2233,41.3
GGT,--,0.75,0,0,0.0,0.0,0.0091,0.1272,0.6238,7.9,0.2233,41.3
GGT,--,0.85,0,0,0.0,0.0,0.0091,0.1272,0.6238,7.9,0.2233,41.3
GGT,--,0.875,0,0,0.0,0.0,0.0091,0.1272,0.6238,7.9,0.2233,41.3
GGT,--,0.99,0,0,0.0,0.0,0.0091,0.1272,0.6238,7.9,0.2233,41.3
Globulin,--,0.5,4387,1308,89.11,80.84,0.0118,0.6265,0.6389,6.0,0.2074,32.9
Globulin,--,0.625,3604,960,73.21,59.33,0.0118,0.6265,0.6389,6.0,0.2074,32.9
Globulin,--,0.75,756,175,15.36,10.82,0.0118,0.6265,0.6389,6.0,0.2074,32.9
Globulin,--,0.85,0,0,0.0,0.0,0.0118,0.6265,0.6389,6.0,0.2074,32.9
Globulin,--,0.875,0,0,0.0,0.0,0.0118,0.6265,0.6389,6.0,0.2074,32.9
Globulin,--,0.99,0,0,0.0,0.0,0.0118,0.6265,0.6389,6.0,0.2074,32.9
Glucose,--,0.5,34,18,0.68,0.51,0.0157,0.5,0.6574,6.4,0.1948,70.4
Glucose,--,0.625,4,2,0.08,0.06,0.0157,0.5,0.6574,6.4,0.1948,70.4
Glucose,--,0.75,4,2,0.08,0.06,0.0157,0.5,0.6574,6.4,0.1948,70.4
Glucose,--,0.85,4,2,0.08,0.06,0.0157,0.5,0.6574,6.4,0.1948,70.4
Glucose,--,0.875,4,2,0.08,0.06,0.0157,0.5,0.6574,6.4,0.1948,70.4
Glucose,--,0.99,4,2,0.08,0.06,0.0157,0.5,0.6574,6.4,0.1948,70.4
HCT,--,0.5,1305,361,99.09,97.3,0.0329,0.34,0.5942,3.0,0.1963,28.2
